mean=0.917, std=0.024, quantiles=(0.810, 0.913, 0.923, 0.929, 0.939)
mean=0.916, std=0.024, quantiles=(0.810, 0.913, 0.922, 0.929, 0.938)
mean=0.916, std=0.024, quantiles=(0.810, 0.913, 0.922, 0.929, 0.938)
mean=0.916, std=0.024, quantiles=(0.810, 0.912, 0.922, 0.928, 0.938)
mean=0.916, std=0.025, quantiles=(0.810, 0.912, 0.922, 0.928, 0.939)
mean=0.915, std=0.024, quantiles=(0.810, 0.912, 0.922, 0.927, 0.938)
mean=0.915, std=0.025, quantiles=(0.810, 0.912, 0.922, 0.927, 0.938)
mean=0.914, std=0.024, quantiles=(0.810, 0.912, 0.920, 0.926, 0.937)
mean=0.914, std=0.025, quantiles=(0.810, 0.911, 0.920, 0.926, 0.937)
mean=0.914, std=0.025, quantiles=(0.810, 0.911, 0.920, 0.926, 0.937)
mean=0.914, std=0.025, quantiles=(0.810, 0.911, 0.920, 0.926, 0.937)
mean=0.914, std=0.025, quantiles=(0.810, 0.911, 0.920, 0.926, 0.937)
mean=0.913, std=0.025, quantiles=(0.810, 0.911, 0.920, 0.926, 0.937)
mean=0.913, std=0.025, quantiles=(0.810, 0.911, 0.920, 0.925, 0.937)
mean=0.913, std=0.025, quantiles=(0.810, 0.911, 0.920, 0.926, 0.936)
mean=0.913, std=0.025, quantiles=(0.810, 0.911, 0.919, 0.925, 0.936)
mean=0.912, std=0.025, quantiles=(0.810, 0.910, 0.919, 0.925, 0.936)
mean=0.912, std=0.025, quantiles=(0.810, 0.910, 0.918, 0.925, 0.936)
mean=0.912, std=0.026, quantiles=(0.810, 0.910, 0.919, 0.925, 0.936)
mean=0.912, std=0.026, quantiles=(0.810, 0.910, 0.918, 0.925, 0.936)
mean=0.911, std=0.026, quantiles=(0.810, 0.910, 0.918, 0.925, 0.936)
mean=0.911, std=0.026, quantiles=(0.810, 0.910, 0.918, 0.925, 0.937)
mean=0.911, std=0.026, quantiles=(0.810, 0.910, 0.918, 0.925, 0.936)
mean=0.911, std=0.026, quantiles=(0.810, 0.910, 0.918, 0.925, 0.938)
mean=0.911, std=0.026, quantiles=(0.810, 0.909, 0.917, 0.924, 0.935)
mean=0.910, std=0.026, quantiles=(0.810, 0.907, 0.917, 0.924, 0.935)
mean=0.909, std=0.026, quantiles=(0.810, 0.907, 0.916, 0.924, 0.935)
mean=0.909, std=0.026, quantiles=(0.810, 0.907, 0.916, 0.924, 0.935)
mean=0.909, std=0.026, quantiles=(0.810, 0.907, 0.916, 0.923, 0.935)
mean=0.909, std=0.026, quantiles=(0.810, 0.906, 0.916, 0.923, 0.935)
mean=0.908, std=0.026, quantiles=(0.810, 0.906, 0.915, 0.922, 0.935)
mean=0.908, std=0.026, quantiles=(0.810, 0.906, 0.915, 0.922, 0.934)
mean=0.908, std=0.026, quantiles=(0.810, 0.906, 0.915, 0.922, 0.934)
mean=0.908, std=0.027, quantiles=(0.810, 0.905, 0.915, 0.922, 0.934)
mean=0.907, std=0.027, quantiles=(0.810, 0.905, 0.915, 0.922, 0.933)
mean=0.907, std=0.027, quantiles=(0.810, 0.904, 0.914, 0.922, 0.933)
mean=0.907, std=0.027, quantiles=(0.810, 0.904, 0.914, 0.922, 0.934)
mean=0.907, std=0.027, quantiles=(0.810, 0.904, 0.914, 0.921, 0.934)
mean=0.906, std=0.027, quantiles=(0.810, 0.904, 0.914, 0.921, 0.933)
mean=0.906, std=0.027, quantiles=(0.810, 0.904, 0.913, 0.921, 0.933)
mean=0.906, std=0.027, quantiles=(0.810, 0.903, 0.913, 0.920, 0.933)
mean=0.906, std=0.027, quantiles=(0.810, 0.903, 0.912, 0.920, 0.934)
mean=0.906, std=0.027, quantiles=(0.810, 0.903, 0.913, 0.920, 0.933)
mean=0.905, std=0.027, quantiles=(0.810, 0.903, 0.912, 0.919, 0.933)
mean=0.905, std=0.027, quantiles=(0.810, 0.902, 0.912, 0.919, 0.933)
mean=0.905, std=0.027, quantiles=(0.810, 0.902, 0.912, 0.919, 0.933)
mean=0.905, std=0.027, quantiles=(0.810, 0.902, 0.912, 0.919, 0.933)
mean=0.905, std=0.027, quantiles=(0.810, 0.902, 0.912, 0.919, 0.932)
mean=0.905, std=0.027, quantiles=(0.810, 0.903, 0.912, 0.919, 0.932)
mean=0.904, std=0.027, quantiles=(0.810, 0.902, 0.911, 0.918, 0.932)
mean=0.904, std=0.027, quantiles=(0.810, 0.901, 0.911, 0.918, 0.932)
mean=0.903, std=0.027, quantiles=(0.810, 0.901, 0.911, 0.917, 0.932)
mean=0.903, std=0.027, quantiles=(0.810, 0.901, 0.910, 0.917, 0.932)
